question_id,subject,difficulty,model,strategy,gold,pred,stem,choices
civics_2019_q118,civics,hard,Llama 3.1 8B,few-shot,A,C,"Ông S là giám đốc; anh B, anh D, chị A là nhân viên và chị Q là nhân viên tập sự cùng làm việc tại công ty X. Anh D tố cáo việc anh B đe dọa chị A làm chị A đột ngột bỏ việc trốn đi biệt tích. Vì thế, cán bộ cơ quan chức năng đến gặp ông S để xác minh sự việc. Cho rằng anh D cố tình hạ thấp uy tín của mình, ông S đã kí quyết định sa thải anh và phân công chị Q tạm thời đảm nhận phần việc của anh D. Những ai sau đây vi phạm quyền bình đẳng trong lao động?","{'A': 'Chị A và ông S.', 'B': 'Ông S và chị Q.', 'C': 'Ông S, chị A và chị Q.', 'D': 'Chị A, ông S và anh B.'}"
biology_2022_q94,biology,easy,Llama 3.1 8B,few-shot,D,C,Cơ quan tương tự ở các loài khác nhau có đặc điểm nào sau đây?,"{'A': 'Có chức năng hoàn toàn khác nhau.', 'B': 'Là bằng chứng tế bào học.', 'C': 'Là bằng chứng tiến hoá trực tiếp.', 'D': 'Không được bắt nguồn từ một nguồn gốc.'}"
geography_2023_q52,geography,easy,Llama 3.1 8B,self-cons,B,C,Thiên tai nào sau đây thường xảy ra ở vùng ven biển nước ta khi có bão?,"{'A': 'Lũ quét.', 'B': 'Ngập mặn.', 'C': 'Sóng thần.', 'D': 'Lũ nguồn.'}"
biology_2022_q115,biology,hard,Llama 3.1 8B,self-cons,D,B,"Ở sinh vật nhân sơ, mạch khuôn của đoạn gen B có trình tự các nuclêôtit trong vùng mã hoá như sau:
Gen B: 3'...TAX ATG AXX AGT TXA AGT AAT TTX TAG XAT ATT...5'.
Do đột biến điểm làm xuất hiện ba alen mới có trình tự các nuclêôtit tương ứng là:
Alen B1: 3'...TAX ATG AXX AGX TXA AGT AAT TTX TAG XAT ATT...5'.
Alen B2: 3'...TAX ATG AXX AGT TXA AGT AAT TAX TAG XAT ATT...5'.
Alen B3: 3'...TAX ATG AXX AGT TXA AGT AXT TAX TAG XAT ATT...5'.
Phát biểu nào sau đây đúng?","{'A': 'Các đoạn pôlipeptit được tạo ra từ các alen đột biến có số axit amin bằng nhau.', 'B': 'Alen B1 được tạo ra từ gen ban đầu do đột biến thay thế một cặp T - A thành cặp A - T.', 'C': 'mARN được tạo ra từ alen B3 dịch mã cần môi trường cung cấp có 2 axit amin foocmin mêtiônin.', 'D': 'Sơ đồ xuất hiện các alen đột biến từ gen B là B1 ← B → B2 → B3.'}"
biology_2019_q96,biology,easy,Qwen3 235B,zero-shot,B,A,"Khi nói về các nhân tố tiến hóa theo thuyết tiến hóa hiện đại, phát biểu nào sau đây đúng?","{'A': 'Chọn lọc tự nhiên là nhân tố quy định chiều hướng tiến hóa.', 'B': 'Giao phối không ngẫu nhiên luôn làm tăng sự đa dạng di truyền của quần thể.', 'C': 'Các yếu tố ngẫu nhiên luôn làm tăng vốn gen của quần thể.', 'D': 'Đột biến gen cung cấp nguồn nguyên liệu thứ cấp cho quá trình tiến hóa.'}"
civics_2024_q107,civics,medium,Qwen3 235B,few-shot,C,A,Trạm trưởng trạm y tế phường X là chị B bí mật mở phòng khám tư nhân và thường xuyên sử dụng thuốc không rõ nguồn gốc điều trị cho bệnh nhân nên bị cơ quan chức năng xử phạt. Chị B đã vi phạm pháp luật nào sau đây?,"{'A': 'Hành chính và kỉ luật.', 'B': 'Kỉ luật và hình sự.', 'C': 'Hình sự và dân sự.', 'D': 'Dân sự và kỉ luật.'}"
civics_2021_q81,civics,easy,Vistral 7B,self-cons,A,C,Một trong những dấu hiệu cơ bản xác định hành vi vi phạm pháp luật là,"{'A': 'chủ thể đại diện phải ẩn danh.', 'B': 'người ủy quyền được bảo mật.', 'C': 'người vi phạm phải có lỗi.', 'D': 'chủ thể làm chứng bị từ chối.'}"
civics_2023_q84,civics,easy,Llama 3.1 8B,few-shot,A,D,"Theo quy định của pháp luật, việc giao kết hợp đồng giữa người lao động và người sử dụng lao động phải tuân theo nguyên tắc nào sau đây?","{'A': 'Đại diện.', 'B': 'Ủy nhiệm.', 'C': 'Trung gian.', 'D': 'Trực tiếp.'}"
biology_2019_q97,biology,easy,Qwen3 235B,cot,C,A,"Trong một chuỗi thức ăn mở đầu bằng sinh vật sản xuất, sinh vật nào sau đây thuộc bậc dinh dưỡng cấp 2?","{'A': 'Sinh vật tiêu thụ bậc 1.', 'B': 'Sinh vật sản xuất.', 'C': 'Sinh vật tiêu thụ bậc 2.', 'D': 'Sinh vật tiêu thụ bậc 3.'}"
geography_2019_q58,geography,easy,Vistral 7B,few-shot,B,A,Kim ngạch xuất khẩu của nước ta tăng nhanh chủ yếu do,"{'A': 'kinh tế tăng trưởng, mở rộng thị trường.', 'B': 'liên kết với nhiều nước, nợ nước ngoài ít.', 'C': 'hội nhập quốc tế rộng, dân số tăng nhanh.', 'D': 'nhiều thành phần kinh tế, tài nguyên giàu.'}"
geography_2019_q73,geography,hard,Vistral 7B,cot,B,C,Việc phát triển công nghiệp ở vùng Bắc Trung Bộ có ý nghĩa chủ yếu là,"{'A': 'thúc đẩy sự phân công lao động, thay đổi bộ mặt kinh tế.', 'B': 'tăng giá trị xuất khẩu, sử dụng hợp lý tài nguyên thiên nhiên.', 'C': 'khai thác tốt thế mạnh, tạo nhiều việc làm cho người lao động.', 'D': 'nâng cao vị thế của vùng, thúc đẩy phát triển kinh tế nông thôn.'}"
biology_2020_q116,biology,hard,Qwen3 235B,self-cons,C,D,"Một loài thực vật, xét 3 cặp gen: A, a; B, b; D, d; mỗi cặp gen quy định 1 tính trạng, các alen trội là trội hoàn toàn. Phép lai P: 2 cây đều có kiểu hình trội về 3 tính trạng giao phấn với nhau, thu được F1 có tỉ lệ kiểu hình là 6 : 3 : 3 : 2 : 1 : 1 và có số cây mang 1 alen trội chiếm 12,5%. Theo lí thuyết, có bao nhiêu phát biểu sau đây đúng?
I. F1 không xuất hiện kiểu gen đồng hợp 3 cặp gen.
II. F1 có 37,5% số cây dị hợp 1 cặp gen.
III. F1 có 4 loại kiểu gen dị hợp 2 cặp gen.
IV. F1 có 5 loại kiểu gen quy định kiểu hình trội về 3 tính trạng.","{'A': '1.', 'B': '3.', 'C': '2.', 'D': '4.'}"
biology_2019_q114,biology,hard,Vistral 7B,self-cons,A,C,"Một loài thực vật, xét 2 tính trạng, mỗi tính trạng do 1 gen có 2 alen quy định, các alen trội là trội hoàn toàn. Cho 2 cây (P) đều có kiểu hình trội về 2 tính trạng giao phấn với nhau, thu được F1 có tổng tỉ lệ các loại kiểu gen đồng hợp 2 cặp gen quy định kiểu hình trội về 1 tính trạng chiếm 50%. Cho các phát biểu sau:
I. F1 có 1 loại kiểu gen quy định kiểu hình trội về 2 tính trạng.
II. F1 có 3 loại kiểu gen.
III. F1 có tổng tỉ lệ các loại kiểu gen đồng hợp 2 cặp gen bằng tỉ lệ kiểu gen dị hợp 2 cặp gen.
IV. F1 có số cây có kiểu hình trội về 2 tính trạng chiếm 25%.
Theo lí thuyết, trong các phát biểu trên, có bao nhiêu phát biểu đúng?","{'A': '3.', 'B': '4.', 'C': '2.', 'D': '1.'}"
biology_2024_q90,biology,easy,Vistral 7B,few-shot,D,A,"Ở ruồi giấm, alen A quy định mắt đỏ, alen a quy định mắt trắng; gen này nằm trên vùng không tương đồng của NST X. Ruồi đực mắt đỏ có kiểu gen là","{'A': 'X^a Y.', 'B': 'X^a X^a.', 'C': 'X^A X^A.', 'D': 'X^A Y.'}"
biology_2023_q100,biology,easy,Qwen3 235B,zero-shot,A,C,Bào quan nào sau đây tham gia vào quá trình hô hấp sáng ở thực vật?,"{'A': 'Không bào.', 'B': 'Ribôxôm.', 'C': 'Ti thể.', 'D': 'Nhân.'}"
history_2019_q37,history,hard,Vistral 7B,zero-shot,B,C,Nội dung nào sau đây phản ánh đúng tiến trình khởi nghĩa giành chính quyền của nhân dân Việt Nam trong năm 1945?,"{'A': 'Giành chính quyền đồng thời ở cả hai địa bàn nông thôn và thành thị.', 'B': 'Giành chính quyền bộ phận tiến lên giành chính quyền toàn quốc.', 'C': 'Giành chính quyền ở các vùng nông thôn rồi tiến vào thành thị.', 'D': 'Giành chính quyền ở các đô thị lớn rồi tỏa về các vùng nông thôn.'}"
civics_2021_q118,civics,hard,GPT-OSS 120B,cot,D,C,"Ông S là giám đốc; anh B, anh D, chị A là nhân viên và chị Q là nhân viên tập sự cùng làm việc tại công ty X. Anh D tố cáo việc anh B đe dọa chị A làm chị A đột ngột bỏ việc trốn đi biệt tích. Vì thế, cán bộ cơ quan chức năng đến gặp ông S để xác minh sự việc. Cho rằng anh D cố tình hạ thấp uy tín của mình, ông S đã kí quyết định sa thải anh và phân công chị Q tạm thời đảm nhận phần việc của anh D. Những ai sau đây vi phạm quyền bình đẳng trong lao động?","{'A': 'Chị A và ông S.', 'B': 'Ông S và chị Q.', 'C': 'Ông S, chị A và chị Q.', 'D': 'Chị A, ông S và anh B.'}"
biology_2023_q94,biology,easy,Qwen3 235B,zero-shot,C,B,"Trong hệ sinh thái rừng ngập mặn, nhân tố sinh thái nào sau đây là nhân tố vô sinh?","{'A': 'Tôm.', 'B': 'Khí CO2.', 'C': 'Cây đước.', 'D': 'Cua.'}"
biology_2023_q100,biology,easy,Llama 3.1 8B,zero-shot,A,C,Bào quan nào sau đây tham gia vào quá trình hô hấp sáng ở thực vật?,"{'A': 'Không bào.', 'B': 'Ribôxôm.', 'C': 'Ti thể.', 'D': 'Nhân.'}"
history_2024_q29,history,medium,Llama 3.1 8B,self-cons,C,D,"Nội dung nào sau đây là nguyên nhân khách quan dẫn tới thắng lợi của cuộc kháng chiến chống Mĩ, cứu nước (1954 – 1975) ở Việt Nam?","{'A': 'Có sự lãnh đạo tài tình, sáng suốt của Đảng Lao động Việt Nam.', 'B': 'Truyền thống yêu nước của nhân dân được phát huy cao độ.', 'C': 'Có sự ủng hộ, giúp đỡ của các nước trong hệ thống xã hội chủ nghĩa.', 'D': 'Sự chi viện to lớn về sức người, sức của từ hậu phương miền Bắc.'}"
